BoxID,Job,BattleID,NeedStar,NonMoney,NonCash,i1.TID,i1.Count,i2.TID,i2.Count,i3.TID,i3.Count,i4.TID,i4.Count,i5.TID,i5.Count
1,1,1,18,12000,10,104,1,0,1,0,0,0,0,0,0
2,1,1,36,24000,20,14100,1,0,1,0,0,0,0,0,0
3,1,1,54,48000,40,16104,1,0,1,0,0,0,0,0,0
4,4,1,18,12000,10,104,1,0,1,0,0,0,0,0,0
5,4,1,36,24000,20,44100,1,0,1,0,0,0,0,0,0
6,4,1,54,48000,40,46104,1,0,1,0,0,0,0,0,0
7,7,1,18,12000,10,104,1,0,1,0,0,0,0,0,0
8,7,1,36,24000,20,74100,1,0,1,0,0,0,0,0,0
9,7,1,54,48000,40,76104,1,0,1,0,0,0,0,0,0
10,10,1,18,12000,10,104,1,0,1,0,0,0,0,0,0
11,10,1,36,24000,20,104100,1,0,1,0,0,0,0,0,0
12,10,1,54,48000,40,106104,1,0,1,0,0,0,0,0,0
13,1,2,18,18000,15,202007,1,0,1,0,0,0,0,0,0
14,1,2,36,36000,30,14109,1,0,1,0,0,0,0,0,0
15,1,2,54,72000,60,16100,1,0,1,0,0,0,0,0,0
16,4,2,18,18000,15,202007,1,0,1,0,0,0,0,0,0
17,4,2,36,36000,30,44109,1,0,1,0,0,0,0,0,0
18,4,2,54,72000,60,46100,1,0,1,0,0,0,0,0,0
19,7,2,18,18000,15,202007,1,0,1,0,0,0,0,0,0
20,7,2,36,36000,30,74109,1,0,1,0,0,0,0,0,0
21,7,2,54,72000,60,76100,1,0,1,0,0,0,0,0,0
22,10,2,18,18000,15,202007,1,0,1,0,0,0,0,0,0
23,10,2,36,36000,30,104109,1,0,1,0,0,0,0,0,0
24,10,2,54,72000,60,106100,1,0,1,0,0,0,0,0,0
25,1,3,18,24000,20,12103,1,0,1,0,0,0,0,0,0
26,1,3,36,48000,40,14202,1,0,1,0,0,0,0,0,0
27,1,3,54,96000,80,16204,1,0,1,0,0,0,0,0,0
28,4,3,18,24000,20,42103,1,0,1,0,0,0,0,0,0
29,4,3,36,48000,40,44202,1,0,1,0,0,0,0,0,0
30,4,3,54,96000,80,46204,1,0,1,0,0,0,0,0,0
31,7,3,18,24000,20,72103,1,0,1,0,0,0,0,0,0
32,7,3,36,48000,40,74202,1,0,1,0,0,0,0,0,0
33,7,3,54,96000,80,76204,1,0,1,0,0,0,0,0,0
34,10,3,18,24000,20,102103,1,0,1,0,0,0,0,0,0
35,10,3,36,48000,40,104202,1,0,1,0,0,0,0,0,0
36,10,3,54,96000,80,106204,1,0,1,0,0,0,0,0,0
37,1,4,18,30000,25,12100,1,0,1,0,0,0,0,0,0
38,1,4,36,60000,50,204208,1,0,1,0,0,0,0,0,0
39,1,4,54,120000,100,206206,1,0,1,0,0,0,0,0,0
40,4,4,18,30000,25,42100,1,0,1,0,0,0,0,0,0
41,4,4,36,60000,50,204208,1,0,1,0,0,0,0,0,0
42,4,4,54,120000,100,206206,1,0,1,0,0,0,0,0,0
43,7,4,18,30000,25,72100,1,0,1,0,0,0,0,0,0
44,7,4,36,60000,50,204208,1,0,1,0,0,0,0,0,0
45,7,4,54,120000,100,206206,1,0,1,0,0,0,0,0,0
46,10,4,18,30000,25,102100,1,0,1,0,0,0,0,0,0
47,10,4,36,60000,50,204208,1,0,1,0,0,0,0,0,0
48,10,4,54,120000,100,206206,1,0,1,0,0,0,0,0,0
49,1,5,18,36000,30,12203,1,0,1,0,0,0,0,0,0
50,1,5,36,72000,60,14402,1,0,1,0,0,0,0,0,0
51,1,5,54,144000,120,16404,1,0,1,0,0,0,0,0,0
52,4,5,18,36000,30,42203,1,0,1,0,0,0,0,0,0
53,4,5,36,72000,60,44402,1,0,1,0,0,0,0,0,0
54,4,5,54,144000,120,46404,1,0,1,0,0,0,0,0,0
55,7,5,18,36000,30,72203,1,0,1,0,0,0,0,0,0
56,7,5,36,72000,60,74402,1,0,1,0,0,0,0,0,0
57,7,5,54,144000,120,76404,1,0,1,0,0,0,0,0,0
58,10,5,18,36000,30,102203,1,0,1,0,0,0,0,0,0
59,10,5,36,72000,60,104402,1,0,1,0,0,0,0,0,0
60,10,5,54,144000,120,106404,1,0,1,0,0,0,0,0,0
61,1,6,18,42000,35,202207,1,0,1,0,0,0,0,0,0
62,1,6,36,84000,70,204408,1,0,1,0,0,0,0,0,0
63,1,6,54,168000,140,16400,1,0,1,0,0,0,0,0,0
64,4,6,18,42000,35,202207,1,0,1,0,0,0,0,0,0
65,4,6,36,84000,70,204408,1,0,1,0,0,0,0,0,0
66,4,6,54,168000,140,46400,1,0,1,0,0,0,0,0,0
67,7,6,18,42000,35,202207,1,0,1,0,0,0,0,0,0
68,7,6,36,84000,70,204408,1,0,1,0,0,0,0,0,0
69,7,6,54,168000,140,76400,1,0,1,0,0,0,0,0,0
70,10,6,18,42000,35,202207,1,0,1,0,0,0,0,0,0
71,10,6,36,84000,70,204408,1,0,1,0,0,0,0,0,0
72,10,6,54,168000,140,106400,1,0,1,0,0,0,0,0,0
73,1,7,18,48000,40,12403,1,0,1,0,0,0,0,0,0
74,1,7,36,96000,80,14602,1,0,1,0,0,0,0,0,0
75,1,7,54,192000,160,16604,1,0,1,0,0,0,0,0,0
76,4,7,18,48000,40,42403,1,0,1,0,0,0,0,0,0
77,4,7,36,96000,80,44602,1,0,1,0,0,0,0,0,0
78,4,7,54,192000,160,46604,1,0,1,0,0,0,0,0,0
79,7,7,18,48000,40,72403,1,0,1,0,0,0,0,0,0
80,7,7,36,96000,80,74602,1,0,1,0,0,0,0,0,0
81,7,7,54,192000,160,76604,1,0,1,0,0,0,0,0,0
82,10,7,18,48000,40,102403,1,0,1,0,0,0,0,0,0
83,10,7,36,96000,80,104602,1,0,1,0,0,0,0,0,0
84,10,7,54,192000,160,106604,1,0,1,0,0,0,0,0,0
85,1,8,18,54000,45,202407,1,0,1,0,0,0,0,0,0
86,1,8,36,108000,90,204608,1,0,1,0,0,0,0,0,0
87,1,8,54,216000,180,16600,1,0,1,0,0,0,0,0,0
88,4,8,18,54000,45,202407,1,0,1,0,0,0,0,0,0
89,4,8,36,108000,90,204608,1,0,1,0,0,0,0,0,0
90,4,8,54,216000,180,46600,1,0,1,0,0,0,0,0,0
91,7,8,18,54000,45,202407,1,0,1,0,0,0,0,0,0
92,7,8,36,108000,90,204608,1,0,1,0,0,0,0,0,0
93,7,8,54,216000,180,76600,1,0,1,0,0,0,0,0,0
94,10,8,18,54000,45,202407,1,0,1,0,0,0,0,0,0
95,10,8,36,108000,90,204608,1,0,1,0,0,0,0,0,0
