ID,ShowName,Name,ItemObjType,Class,SubClass,Character,Expend,Quility,Level,Value,BindType,Count,MaxNum,ExistTime,NeedJob,NeedLevel,NeedSex,SetID,MainType,Property.Str,Property.Int,Property.Dex,Property.Sta,Property.Fai,Property.MaxHP,Property.MaxSP,Property.HPTick,Property.SPTick,Property.AtkDmgMin,Property.AtkDmgMax,Property.Def,Property.IceAtt,Property.FireAtt,Property.PoisonAtt,Property.ThunderAtt,Property.IceDef,Property.FireDef,Property.PoisonDef,Property.ThunderDef,Property.Pierce,Property.Hit,Property.Dodge,Property.Cri,Property.Flex,Property.CriDmg,Property.CriDmgDef,Property.BodySize,Property.AttSize,Property.AttSpeedModPer,Property.MoveSpeedModPer,Property.PiercePer,Property.HitPer,Property.DodgePer,Property.CriPer,Property.FlexPer,Property.AttSpeed,Property.MoveSpeed,Property.MaxEP,Property.MaxAP,Property.ExpPer,Property.MoneyPer,Up1,Up2,Up3,EffectID1,EffectID2,EffectID3,RandomMin,RandomMax,HoleMin,HoleMax,HolePos,UpMin,UpMax,CanUse,UseNum,CoolDownTime,SetTime,UseCondition,Effect,IntExtra1,IntExtra2,IntExtra3,IntExtra4,StringExtra1,StringExtra2,StringExtra3,StringExtra4,IconPath,Filename,FilenameW,FilePart,Description,SoundMat,IconID,EventUse,EventAddBag,UpBaseExp,UpBaseMoney,SuitID,DropID,GatherCostCount,GatherItemID,GatherCount,GenItemID,GenItemCount
100,金币,金币,0,51,0,-1,1,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon_money,0,0,0,,0,11,0,EventAddMoney,0,0,0,0,0,0,0,0,0
101,勋章,勋章,0,51,0,-1,1,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon_noncash,0,0,0,,0,11,0,EventAddNonCash,0,0,0,0,0,0,0,0,0
102,神秘水晶,神秘水晶,0,51,0,-1,1,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon-smsj,0,0,0,可以在神秘圣地兑换稀有道具。,0,11,0,,0,0,0,0,0,0,0,0,0
103,刷新令牌,刷新令牌,0,51,0,-1,1,2,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon-sxlp,0,0,0,可以在神秘圣地刷新可兑换的道具。,0,11,0,,0,0,0,0,0,0,0,0,0
104,灵魂石币,灵魂石币,0,51,0,-1,1,2,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon-lhsb,0,0,0,可以在灵魂殿堂兑换战魂。,0,11,0,,0,0,0,0,0,0,0,0,0
105,灵魂玉币,灵魂玉币,0,51,0,-1,1,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon-lhyb,0,0,0,可以在灵魂殿堂兑换高级战魂。,0,11,0,,0,0,0,0,0,0,0,0,0
106,扫荡卷,扫荡卷,0,51,0,-1,1,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,icon-lhyb,0,0,0,扫荡副本时需要消耗扫荡卷。,0,11,0,,0,0,0,0,0,0,0,0,0
200,体力,体力,0,51,0,-1,1,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventAddVipEP,0,0,0,0,0,0,0,0,0
300,经验,经验,0,51,0,-1,1,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,iconexp,0,0,0,,0,11,0,EventAddExp,0,0,0,0,0,0,0,0,0
301,1级宝石礼包,1级宝石礼包,0,51,1,-1,0,3,1,1,0,0,9999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-1,0,0,0,可获得任意1颗1级宝石,0,20,0,EventAddDrop,0,0,0,5007,0,0,0,0,0
