Index,Month,LoginDays,ItemID,ItemNum,VIPlevel,IfTips
100001,10,1,100,20000,0,0
100002,10,2,500124,1,0,1
100003,10,3,101,100,0,0
100004,10,4,100,20000,0,0
100005,10,5,101,100,0,0
100006,10,6,100,40000,0,0
100007,10,7,104,3,1,0
100008,10,8,100,40000,0,0
100009,10,9,101,150,0,0
100010,10,10,100,60000,2,0
100011,10,11,100,60000,0,0
100012,10,12,101,100,0,0
100013,10,13,100,80000,0,0
100014,10,14,104,4,2,0
100015,10,15,100,80000,3,0
100016,10,16,101,100,0,0
100017,10,17,100,100000,0,0
100018,10,18,100,100000,0,0
100019,10,19,101,150,0,0
100020,10,20,100,120000,4,0
100021,10,21,104,5,3,0
100022,10,22,100,120000,0,0
100023,10,23,101,100,0,0
100024,10,24,100,140000,0,0
100025,10,25,100,140000,5,0
100026,10,26,101,100,0,0
100027,10,27,100,160000,0,0
100028,10,28,104,6,4,0
100029,10,29,100,160000,0,0
100030,10,30,101,150,0,0
100031,10,31,100,180000,0,0
110001,11,1,100,20000,0,0
110002,11,2,500124,1,0,1
110003,11,3,101,100,0,0
110004,11,4,100,20000,0,0
110005,11,5,101,100,0,0
110006,11,6,100,40000,0,0
110007,11,7,104,3,5,0
110008,11,8,100,40000,0,0
110009,11,9,101,150,0,0
110010,11,10,100,60000,2,0
110011,11,11,100,60000,0,0
110012,11,12,101,100,0,0
110013,11,13,100,80000,0,0
110014,11,14,104,4,6,0
110015,11,15,100,80000,3,0
110016,11,16,101,100,0,0
110017,11,17,100,100000,0,0
110018,11,18,100,100000,0,0
110019,11,19,101,150,0,0
110020,11,20,100,120000,4,0
110021,11,21,104,5,7,0
110022,11,22,100,120000,0,0
110023,11,23,101,100,0,0
110024,11,24,100,140000,0,0
110025,11,25,100,140000,5,0
110026,11,26,101,100,0,0
110027,11,27,100,160000,0,0
110028,11,28,104,6,8,0
110029,11,29,100,160000,0,0
110030,11,30,101,150,0,0
