CardID,i1.ItemID,i1.Count,i1.Hit,i2.ItemID,i2.Count,i2.Hit,i3.ItemID,i3.Count,i3.Hit,i4.ItemID,i4.Count,i4.Hit,i5.ItemID,i5.Count,i5.Hit,i6.ItemID,i6.Count,i6.Hit,i7.ItemID,i7.Count,i7.Hit,i8.ItemID,i8.Count,i8.Hit,i9.ItemID,i9.Count,i9.Hit,i10.ItemID,i10.Count,i10.Hit,i11.ItemID,i11.Count,i11.Hit,i12.ItemID,i12.Count,i12.Hit,i13.ItemID,i13.Count,i13.Hit,i14.ItemID,i14.Count,i14.Hit
1010011,1,150,0,2,0,0,3,0,0,14002,1,500,14002,1,500,14003,1,500,14004,1,500,14005,1,500,204006,1,500,204007,1,500,204008,1,500,14000,1,500,14009,1,500,0,0,0
1010012,1,120,0,2,0,0,3,0,0,202006,1,500,202007,1,500,202008,1,500,12000,1,500,12009,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,0,0
1010013,1,100,100,2,0,0,3,0,0,12001,1,200,12002,1,200,12003,1,200,12004,1,200,12005,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,0,0
1010014,1,90,500,2,0,0,3,0,0,200006,1,500,200007,1,480,200008,1,460,10000,1,440,10009,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010015,1,80,1000,2,0,0,3,0,0,10001,1,500,10002,1,480,10003,1,460,10004,1,440,10005,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010021,1,165,0,2,0,0,3,0,0,14002,1,500,14002,1,500,14003,1,500,14004,1,500,14005,1,500,204006,1,500,204007,1,500,204008,1,500,14000,1,500,14009,1,500,0,0,0
1010022,1,132,0,2,0,0,3,0,0,202006,1,500,202007,1,500,202008,1,500,12000,1,500,12009,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,0,0
1010023,1,110,100,2,0,0,3,0,0,12001,1,200,12002,1,200,12003,1,200,12004,1,200,12005,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,0,0
1010024,1,99,500,2,0,0,3,0,0,200006,1,500,200007,1,480,200008,1,460,10000,1,440,10009,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010025,1,88,1000,2,0,0,3,0,0,10001,1,500,10002,1,480,10003,1,460,10004,1,440,10005,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
