ID,LevelID,Index,MonsterTemplateID
1,100301,1,500104
2,11011,1,100111
3,11011,2,100111
4,11011,3,100111
5,11011,4,100111
6,11011,5,100111
7,11011,6,100111
8,11011,7,100102
9,11011,8,100102
10,11011,9,100102
11,11011,10,100102
12,11011,11,100111
13,11011,12,100111
14,11011,13,100111
15,11011,14,100111
16,11011,15,100111
17,11011,16,100111
18,11011,17,100111
19,11011,18,100111
20,11011,19,100101
21,11011,20,100101
22,11011,21,100101
23,11011,22,100111
24,11011,23,100111
25,11011,24,100131
26,11012,25,200111
27,11012,26,200111
28,11012,27,200111
29,11012,28,200111
30,11012,29,200111
31,11012,30,200111
32,11012,31,200102
33,11012,32,200102
34,11012,33,200102
35,11012,34,200102
36,11012,35,200111
37,11012,36,200111
38,11012,37,200111
39,11012,38,200111
40,11012,39,200111
41,11012,40,200111
42,11012,41,200111
43,11012,42,200111
44,11012,43,200101
45,11012,44,200101
46,11012,45,200101
47,11012,46,200111
48,11012,47,200111
49,11012,48,200131
50,11013,49,300111
51,11013,50,300111
52,11013,51,300111
53,11013,52,300111
54,11013,53,300111
55,11013,54,300111
56,11013,55,300102
57,11013,56,300102
58,11013,57,300102
59,11013,58,300102
60,11013,59,300111
61,11013,60,300111
62,11013,61,300111
63,11013,62,300111
64,11013,63,300111
65,11013,64,300111
66,11013,65,300111
67,11013,66,300111
68,11013,67,300101
69,11013,68,300101
70,11013,69,300101
71,11013,70,300111
72,11013,71,300111
73,11013,72,300131
74,11021,1,100211
75,11021,2,100211
76,11021,3,100211
77,11021,4,100211
78,11021,5,100211
79,11021,6,100211
80,11021,7,100211
81,11021,8,100222
82,11021,9,100201
83,11021,10,100201
84,11021,11,100201
85,11021,12,100211
86,11021,13,100211
87,11021,14,100211
88,11021,15,100211
89,11021,16,100211
90,11021,17,100211
91,11021,18,100211
92,11021,19,100201
93,11021,20,100201
94,11021,21,100201
95,11021,22,100201
96,11021,23,100201
97,11021,24,100211
98,11021,25,100211
99,11021,26,100222
100,11021,27,100211
101,11021,28,100211
102,11021,29,100211
103,11021,30,100231
104,11021,31,100211
105,11021,32,100211
106,11021,33,100211
107,11021,34,100211
108,11021,35,1002
109,11021,36,1001
110,11021,37,1001
111,11021,38,1002
112,11022,39,200211
113,11022,40,200211
114,11022,41,200211
115,11022,42,200211
116,11022,43,200222
117,11022,44,200211
118,11022,45,200211
119,11022,46,200211
120,11022,47,200201
121,11022,48,200201
122,11022,49,200201
123,11022,50,200211
124,11022,51,200211
125,11022,52,200211
126,11022,53,200211
127,11022,54,200211
128,11022,55,200211
129,11022,56,200211
130,11022,57,200201
131,11022,58,200201
132,11022,59,200201
133,11022,60,200201
134,11022,61,200201
135,11022,62,200222
136,11022,63,200211
137,11022,64,200211
138,11022,65,200211
139,11022,66,200211
140,11022,67,200211
141,11022,68,200231
142,11022,69,200211
143,11022,70,200211
144,11022,71,200211
145,11022,72,200211
146,11022,73,1002
147,11022,74,1001
148,11022,75,1001
149,11022,76,1002
150,11023,77,300211
151,11023,78,300211
152,11023,79,300211
153,11023,80,300211
154,11023,81,300211
155,11023,82,300211
156,11023,83,300211
157,11023,84,300222
158,11023,85,300201
159,11023,86,300201
160,11023,87,300201
161,11023,88,300211
162,11023,89,300211
163,11023,90,300211
164,11023,91,300211
165,11023,92,300211
166,11023,93,300211
167,11023,94,300211
168,11023,95,300201
169,11023,96,300201
170,11023,97,300201
171,11023,98,300201
172,11023,99,300201
173,11023,100,300211
174,11023,101,300211
175,11023,102,300222
176,11023,103,300211
177,11023,104,300211
178,11023,105,300211
179,11023,106,300231
180,11023,107,300211
181,11023,108,300211
182,11023,109,300211
183,11023,110,300211
184,11023,111,1001
185,11023,112,1001
186,11023,113,1002
187,11023,114,1002
188,11031,1,100302
189,11031,2,100302
190,11031,3,100302
191,11031,4,100302
192,11031,5,100302
193,11031,6,100302
194,11031,7,100302
195,11031,8,100302
196,11031,9,100302
197,11031,10,100302
198,11031,11,100302
199,11031,12,100302
200,11031,13,100311
201,11031,14,100311
202,11031,15,100311
203,11031,16,100311
204,11031,17,100311
205,11031,18,100311
206,11031,19,100311
207,11031,20,100311
208,11031,21,100311
209,11031,22,100311
210,11031,23,100311
211,11031,24,100321
212,11031,25,100301
213,11031,26,100301
214,11031,27,100301
215,11031,28,100301
216,11031,29,100301
217,11031,30,100301
218,11031,31,100301
219,11031,32,100301
